seller_id,seller_short_code,seller_name,shop_url
1003323,BD1NE1D,ATAS Fashion CTG,https://www.daraz.com.bd/shop/atas-fashion-ctg
1003328,BD1NE1I,Mannan Traders,https://www.daraz.com.bd/shop/mannan-traders
1003336,BD1NE1R,Camera Wholesaler  Bangladesh,https://www.daraz.com.bd/shop/camera-wholesaler-bangladesh
1003338,BD1NE1T,Barcode Source,https://www.daraz.com.bd/shop/barcode-source
1003340,BD1NE1V,Al Amin Traders,https://www.daraz.com.bd/shop/al-amin-traders
1003342,BD1NE1X,Sohoj Shop,https://www.daraz.com.bd/shop/sohoj-shop
1003344,BD1NE1Z,Fashion Gallery,https://www.daraz.com.bd/shop/fashion-gallery
1003349,BD1NE24,Mohiudddin Electronics super shop,https://www.daraz.com.bd/shop/mohiudddin-electronics-super-shop
1003351,BD1NE26,Akash Enterprise,https://www.daraz.com.bd/shop/akash-enterprise
1003356,BD1NE2B,Ingenious Pulmo-Fit,https://www.daraz.com.bd/shop/ingenious-pulmo-fit
1003372,BD1NE2S,Bahar Enterprise,https://www.daraz.com.bd/shop/bahar-enterprise
1003375,BD1NE2V,Party Hunterz Bd,https://www.daraz.com.bd/shop/party-hunterz-bd
1003378,BD1NE2Y,The Trust Trade International,https://www.daraz.com.bd/shop/the-trust-trade-international
1003408,BD1NE3T,Camera & Gear,https://www.daraz.com.bd/shop/camera-gear
1003409,BD1NE3U,OGMA BD,https://www.daraz.com.bd/shop/ogma-bd
1003410,BD1NE3V,TUNICSHOP,https://www.daraz.com.bd/shop/tunicshop
1003413,BD1NE3Y,NF Enterprise,https://www.daraz.com.bd/shop/nf-enterprise
1003414,BD1NE3Z,Khan Group of company,https://www.daraz.com.bd/shop/khan-group-of-company
1003420,BD1NE45,PC Carnival,https://www.daraz.com.bd/shop/pc-carnival
1003421,BD1NE46,Saera Exclusive,https://www.daraz.com.bd/shop/saera-exclusive/
1003429,BD1NE4E,Life Easy CTG,https://www.daraz.com.bd/shop/life-easy-ctg
1003431,BD1NE4G,Sylhet Tea,https://www.daraz.com.bd/shop/sylhet-tea
1003439,BD1NE4O,Equal Marketing Ltd,https://www.daraz.com.bd/shop/equal-marketing-ltd/
1003468,BD1NE5I,Kite N Co.,https://www.daraz.com.bd/shop/kite-n-co/
1003475,BD1NE5P,M.M Foods BD Limited,https://www.daraz.com.bd/shop/mm-foods-bd-limited
1003483,BD1NE5Y,Dubai Super Shop,https://www.daraz.com.bd/shop/dubai-super-shop
1003503,BD1NE6I,MH Products,https://www.daraz.com.bd/shop/mh-products/
1003520,BD1NE70,Leather King,https://www.daraz.com.bd/shop/leather-king
1003522,BD1NE72,Rose Riviera,https://www.daraz.com.bd/shop/rose-riviera
1003523,BD1NE73,Picktronick BD,https://www.daraz.com.bd/shop/picktronick-bd
1003531,BD1NE7B,Mojarshop,https://www.daraz.com.bd/shop/mojarshop
1003541,BD1NE7L,Total Pharma,https://www.daraz.com.bd/shop/total-pharma
1003545,BD1NE7P,"""Sells Park""",https://www.daraz.com.bd/shop/sells-park
1003556,BD1NE81,DS CRAFTASTIC,https://www.daraz.com.bd/shop/ds-craftastic
1003558,BD1NE83,S A TRADING,https://www.daraz.com.bd/shop/s-a-trading
1003567,BD1NE8C,Sadai Bari,https://www.daraz.com.bd/shop/sadai-bari
1003568,BD1NE8D,SAFIQUL TRADING,https://www.daraz.com.bd/shop/safiqul-trading
1003572,BD1NE8H,DOT,https://www.daraz.com.bd/shop/dot
1003578,BD1NE8N,Iran Communication,https://www.daraz.com.bd/shop/iran-communication
1003579,BD1NE8O,Kinedei,https://www.daraz.com.bd/shop/kinedei/
1003580,BD1NE8P,MS Mart,https://www.daraz.com.bd/shop/ms-mart
1003584,BD1NE8U,RK Fashions,https://www.daraz.com.bd/shop/rk-fashions/
